,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,0.23572586673915788,0.2211052743020196,0.18642794368527166,0.20821307272019438,0.1954411129109903,0.3220865585864113,0.31201227880579996,0.18971784518003004,0.26388835689023377,0.20306276865373724
u01,0.2290273578500569,0.2198078716825174,0.2228263057116078,0.24276797391697813,0.29525267139860767,0.1511371176241792,0.2835606120669151,0.24829469588491537,0.1140671550853738,0.19943005445015521
u02,0.18042981252857795,0.19013979540604994,0.18240704480265874,0.23439356890988594,0.1346327363319147,0.15327615515376294,0.1826709937597007,0.1790851910487356,0.1448253566161654,0.2129268520642689
u03,0.04224217929151552,0.05659301650136615,0.03948046254178769,0.05604250333623623,0.06180412928332072,0.03961032371545513,0.018244911736316316,0.03720848880597015,0.041854981332285324,0.0
u04,0.32712772487759845,0.35441006209872644,0.34333138810048014,0.36865891901863124,0.3017833622829204,0.33440331601589623,0.31408088189909517,0.31452860102518215,0.2164464386386278,0.0
u05,0.2588373046653064,0.22940333311939756,0.17753377833671924,0.19311745769422783,0.15760085598795276,0.19664953735084095,0.17259903763759804,0.15894260256830278,0.1912702211161099,0.13273979259693938
u07,0.25923245173765574,0.36918052105139415,0.20942887024698492,0.20096315952613156,0.028892130883972966,0.1323866688464862,0.12048036121650532,0.13335924810151184,0.0,0.0
u08,0.16718378838089093,0.21491090129214874,0.1644222511771151,0.19550705391820883,0.16624995039091955,0.2108511431370544,0.2190832123601945,0.17936629591550612,0.20737300494759367,0.18859814816134804
u09,0.1767218856765525,0.1943433468836677,0.14847484309796274,0.17337379986576007,0.1520231123968613,0.14766559125416007,0.18505260157995893,0.19375929730112632,0.1918165586562624,0.13805766124021374
u10,0.16806433753897257,0.19774578815297475,0.16938668015085434,0.17378098281713455,0.17398477258746176,0.166226879131014,0.16320915689011894,0.19318811506922282,0.18773591980601456,0.18919392802682125
u12,0.13280573697016262,0.20073014522011629,0.1642869804844246,0.10491235306248711,0.11749127294093249,0.10527509099521845,0.14858034725086328,0.17195724940624174,0.15205510665521532,0.18568673902264338
u13,0.06974651267436628,0.11658564937123533,0.11436860380116959,0.13825721032369506,0.1378574898293764,0.10372048705363573,0.1884112630968917,0.1551492856672592,0.15632675103900068,0.16306140673425434
u14,0.34924443810101513,0.31523001392943806,0.285305595978304,0.2581212514450772,0.29723151422472843,0.2590688509161495,0.2890665291387313,0.2691536107480732,0.20078795365764082,0.2689770624236886
u15,0.21014689090592403,0.24768094081092554,0.17103533596226708,0.22678819225432068,0.16797550665519698,0.18636275155031934,0.1261601739991817,0.12026654411764706,0.1806282722513089,0.13470611089526557
u16,0.15925924098353375,0.16809347608725797,0.1315447147252474,0.15492215870943332,0.11977616836473381,0.11711603634945866,0.1485111162918848,0.0836324616398586,0.08539646962675136,0.0426780940610685
u17,0.07547301410165365,0.1430763175439583,0.1167593732357215,0.15459299234257054,0.12924086495186185,0.15003011750321404,0.13807397076809838,0.10100748416810593,0.12009875884158548,0.13720741107418147
u18,0.15568026387630235,0.167811058171374,0.09052023008486577,0.1022554126359803,0.1368073755873641,0.052205963572097135,0.17792813076957717,0.10069297914399307,0.1086971586971587,0.0927911682519581
u19,0.20916567923607723,0.16355569690705254,0.16092933424221767,0.12665599250858042,0.11627618473753235,0.017026357943789136,0.08165888019789065,0.09124702810149277,0.14307755797050262,0.1370152650042666
u20,0.25061528788287074,0.1542466102178503,0.18725418358253293,0.0445412392862161,0.10459938179584022,0.08876135483416661,0.1799854373350323,0.0668567032626262,0.06827051688440186,0.0
u22,0.17771729848550794,0.2073889564195046,0.0026418481478416417,0.15781416606568474,0.1193845954314803,0.11127030830241781,0.1952378691732734,0.22035762452908125,0.31733342099207784,0.3581254696628124
u23,0.15636068919973584,0.18429444648055235,0.17398758685581933,0.1269013914991714,0.177035738614651,0.14643488371002752,0.19970267819747506,0.1514789508962356,0.09522164534712414,0.0
u24,0.23008348522247,0.15550390027046768,0.19756558015498962,0.17042457781453882,0.14258852324293422,0.0,0.0,0.0,0.0,0.0
u25,0.18784627355537745,0.20062635600415055,0.18411153208300188,0.1626970020144567,0.15622057559258198,0.2485834691931465,0.5055809094408094,0.16211597313302334,0.1003145865434001,0.07825653359927258
u27,0.2325909700944519,0.13396862505273668,0.157990837573459,0.07858505857972382,0.15070028263335072,0.1616804417280178,0.16294124929611775,0.16235876337835017,0.1506378823761172,0.16074115976988185
u30,0.3208283370448619,0.30060554434177145,0.3328444390444286,0.2718035589114207,0.2959789881808517,0.26813107646347345,0.2919004464696834,0.26127460053056945,0.2986041148447646,0.2352779000818866
u31,0.23952291755997382,0.18609046421951123,0.18010185744027235,0.12440676656385027,0.12470733070497425,0.14077329819352472,0.14722298049261912,0.14655626840149655,0.15683995717305563,0.13277381562183957
u32,0.27129929321619656,0.18762691171809043,0.21937895946627797,0.2321606100656148,0.254338817028758,0.028048038385943806,0.2452992619500058,0.16692291112867302,0.30883699566291456,0.20800244201427415
u33,0.13347410180119654,0.1864499085551717,0.18897781083230147,0.18257546213243897,0.2261273480738297,0.1989344603613806,0.28983922200056034,0.1562090739727375,0.21514601550899193,0.35666765961672126
u34,0.23177052423343225,0.19216468512141613,0.17339549388336,0.21937386569872958,0.09678619253087338,0.22649676130516375,0.15048200068596615,0.16739391583931032,0.15525697010413167,0.2421649628903515
u35,0.09544354162172528,0.12920409080951448,0.16372807397417338,0.17518062430145298,0.13034146341463415,0.10650259288402651,0.12167964226541483,0.11522410000050343,0.0507665307386569,0.17804841034979893
u36,0.13868557221552882,0.127539168335493,0.12926905811240433,0.16708129118008402,0.2956629690440912,0.17859923940601233,0.16238612742567765,0.09628558891097287,0.0732232079127154,0.1657867372908133
u39,0.05534595802351562,0.03221765932129085,0.04423092194076074,0.025145634900494568,0.040157714223986604,0.0,0.0,0.0,0.0,0.0
u41,0.19711950407188572,0.14374908368427172,0.16603834952173976,0.1721476155228931,0.1463716366294599,0.19219353064456476,0.14049666751339648,0.09446561106402529,0.25187996052430395,0.14800790362337515
u42,0.03392468098350451,0.13008602818488477,0.11621007046553707,0.13235824393761833,0.06928128031581722,0.09320551363165226,0.08810927998993233,0.11891787625982543,0.06960396661018013,0.0
u43,0.06493506493506493,0.24742979422847308,0.2235333564947604,0.2697189871730167,0.17329254954962967,0.1086597663201166,0.12415991586834711,0.13086746501774332,0.18736018490049935,0.13743142864642116
u44,0.034482758620689655,0.07945488992771679,0.09212656090381988,0.10002959611868044,0.10454671986638212,0.08832050761022038,0.06791789112599277,0.08519738771679408,0.06740107467426594,0.09475968007741038
