,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,0.08886598528443414,0.05339345464956072,0.046942131225799606,0.05649522075557579,0.056957544913616626,0.11648098518239607,0.07615924372057234,0.05734675966557347,0.053674595746054286,0.0680614168986262
u01,0.04401869638913144,0.053590397280645845,0.04097869037538809,0.052268655095650915,0.05261439686598836,0.031822354329676096,0.054146488276013024,0.04087010345742329,0.03694815830571744,0.019754379284082253
u02,0.05714359424178319,0.05915542316453478,0.048911516853932586,0.049261256214550804,0.05578775539490914,0.04945198817940373,0.07384719188906053,0.0644167866319223,0.048045127407119234,0.05299936026770336
u03,0.008796701237036112,0.01322655457312654,0.009357229019472687,0.015204223622820659,0.019696806020669044,0.009388374982741957,0.004575441583315599,0.007833273445921668,0.012162511860605537,0.0
u04,0.08375712744644784,0.08657290582152499,0.09459957947545096,0.06943977937666837,0.07691361279550048,0.054613142275137846,0.06796855635423675,0.0463258785942492,0.06678456257151774,0.0
u05,0.04134948534432614,0.03636775520161712,0.04422952482554784,0.03765341824172976,0.03220164069195921,0.02589838265120391,0.03146993766338226,0.020610198421164926,0.0404833836858006,0.03385521982783523
u07,0.05420944558521561,0.0675951148233002,0.03331923741057899,0.04513907378809663,0.015036807033457767,0.03196546541298193,0.023068757145190265,0.02564102564102564,0.0,0.0
u08,0.04135481415704681,0.045658910562989236,0.042843799016584125,0.04351138276198069,0.04634107456023808,0.05802638861611527,0.06358758956619957,0.050078634411832273,0.04377315474494158,0.02547045154235203
u09,0.05130342949252404,0.07913962880609883,0.06040581792063207,0.0539831375045822,0.049701322842034976,0.04102266533030895,0.04942611569085828,0.04955007824726135,0.04851539733795385,0.04376502696731432
u10,0.03366630601615379,0.03448515246706815,0.03402191360178659,0.03165444915997334,0.0269411415501196,0.03150720838794233,0.026784002788185067,0.022944250871080138,0.027772101577158145,0.030870821295914157
u12,0.027483655941545955,0.030709255070704843,0.025445666342323155,0.01662395112874346,0.020265212276761844,0.018073871696527084,0.03266972945380296,0.04047387498894881,0.03011505222416627,0.041067322603069355
u13,0.0056881802302145386,0.01966882699424878,0.024158309110858728,0.02070069622845229,0.0326184688134803,0.008367567567567567,0.05257957816057391,0.030770351218979298,0.036893494925270866,0.019589084779736685
u14,0.14595034181300667,0.11122810712154715,0.09585116136919315,0.0855865297282191,0.08915421071819177,0.07746700738614486,0.07151540655538412,0.0639043958818414,0.02109079445145019,0.011282273812106747
u15,0.033085733726468586,0.02792409430707303,0.025638139828028633,0.04173772830165277,0.03942181340341656,0.054154658981748316,0.03288406688663945,0.03036282366206258,0.0827906976744186,0.023446019629225736
u16,0.04611410772620223,0.04217375366568915,0.0452608615873922,0.04677935447968837,0.026623324824505426,0.04404761904761905,0.060055637375225006,0.026358071142386464,0.029868121268563638,0.02215752072641137
u17,0.02793310097540182,0.04501791370268446,0.024178399710479605,0.036848862802641234,0.032183428143973,0.021729705356988017,0.0313715899237388,0.01866786398880964,0.027603399021052823,0.017210144927536232
u18,0.030878859857482184,0.03067809376463164,0.03550768696256406,0.039250933714963875,0.0329265311495139,0.018578225483190713,0.01942880332775326,0.01958593805709396,0.009402423735896365,0.010703966377725242
u19,0.06820516583504549,0.04138564214838095,0.04360145928523359,0.035035557178377065,0.028150601359595608,0.028608131097455126,0.0328133405056482,0.03880888454967049,0.026874706465584722,0.02613292301583362
u20,0.052865426613449805,0.02975909305621162,0.019727726202023,0.0,0.026814016732777883,0.030876277451619916,0.01727142271422714,0.0154895968518441,0.0049970255800118974,0.0
u22,0.036015771116615275,0.03578260790351085,0.03941747572815534,0.03422809260048289,0.02878138395590937,0.024614576033637002,0.020035209920012245,0.0370527012614468,0.025450665213640287,0.01657100536937604
u23,0.025260200131892077,0.021874051337403447,0.020349090655460426,0.014347848689112618,0.02694831397592898,0.023256631567845028,0.01894442502621461,0.006540937245172372,0.003952699364274186,0.0
u24,0.0624422098936662,0.04042911605638798,0.03610754992009273,0.03589984939759036,0.04169998154868073,0.0,0.0,0.0,0.0,0.0
u25,0.04910502715905363,0.069158217922382,0.07487060503301803,0.053372213753948794,0.0492229427549195,0.020784409940065193,0.07634543178973717,0.058734058734058736,0.04456590287996637,0.014283395552670022
u27,0.03360048288119111,0.02528348411967979,0.030170073198809703,0.030989064738147644,0.025968875122761956,0.03243767972599227,0.019729327472223182,0.018089596708402794,0.014561224130028558,0.028097094084562634
u30,0.08493214787084698,0.07178816131435944,0.06708194420073697,0.06231562778194767,0.058566954965702356,0.04698601040064455,0.05897418028502735,0.033474925505610854,0.041165155262434736,0.03816793893129771
