uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u20,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u22,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u23,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u24,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,6|19|8|0-1508|635|0|0,24|32|23|0-3477|6227|0|0,7|17|19|0-1482|1128|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u25,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u27,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u30,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u31,4|7|2|0-229|176|0|0,1|4|0|0-6|56|0|0,9|16|1|0-677|325|0|0,10|21|5|0-309|1492|0|0,5|4|1|0-901|261|0|0,1|10|2|0-2434|213|0|0,4|5|0|0-275|90|0|0,3|3|1|0-136|24|0|0,41|76|16|0-5267|2876|0|0
u32,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u33,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u34,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u35,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u36,0|0|0|0-0|0|0|0,3|21|2|0-106|180|0|0,2|4|1|0-146|24|0|0,0|0|0|0-0|0|0|0,0|1|0|0-0|6|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u39,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
u41,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0,0|0|0|0-0|0|0|0
