uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u32,31947|1965|232|2669,53451|1933|71|1419,42789|2371|49|1388,30513|2219|92|1062,46574|4471|277|1418,40780|2498|223|1283,49179|2555|563|3151,43051|4523|1051|1011,47701|4045|1097|1712,37148|2547|828|1091
u33,30635|1726|175|599,53440|2454|159|759,53725|1975|108|750,53556|2200|376|985,52033|3072|184|1244,53441|2502|337|889,52123|3164|471|1340,42289|892|184|545,1694|125|4|42,2276|22|1|644
u34,20206|1337|166|949,45629|3078|924|7216,44046|1511|383|2267,67237|2826|155|7825,39180|445|101|3385,11793|600|22|412,30998|720|77|953,28282|753|115|1220,18582|525|56|784,16316|736|55|716
u35,31172|478|359|160,54281|1447|823|916,53061|1832|1137|1265,52817|2325|1490|863,53783|1540|598|1349,55234|1261|278|722,55493|1072|243|1101,55724|390|52|643,59925|388|67|531,38594|955|224|1484
u36,29086|1258|288|789,53306|1600|913|1182,53182|1786|989|1304,47104|3192|776|3164,48702|2602|2158|3475,47487|2390|1232|1781,52047|2281|1347|1288,52344|1158|1161|1490,53718|1717|775|1259,37752|1327|839|907
u39,7637|33|6|99,36003|102|0|100,29445|96|4|113,57850|147|19|240,31630|139|3|169,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0
u41,29227|842|219|257,43359|1215|282|318,47259|1257|266|275,35029|990|104|219,53974|1688|174|483,22652|761|99|155,22285|575|206|67,32568|413|44|38,24637|808|79|122,25349|340|136|132
u42,1376|0|0|0,47174|1743|154|3967,54603|1277|176|1556,45682|1851|146|1623,44426|714|107|770,47089|1128|170|1070,47736|571|185|1047,36621|581|145|848,16873|138|43|239,0|0|0|0
u43,39|0|0|3,45849|3450|219|2249,49134|2498|707|726,45769|3102|1124|2849,45147|2640|876|2107,50193|2620|189|966,37730|1296|323|1057,31974|1206|83|174,37400|1743|235|2114,21296|867|114|230
u44,31|0|0|0,50128|922|23|456,51213|1023|60|507,48392|1130|66|604,55241|1341|197|839,56407|830|127|483,54201|454|101|303,56508|735|191|471,57093|582|36|360,30283|266|102|158
u45,40|0|0|0,43541|1775|57|4805,70233|2080|204|6835,55007|1024|101|6732,25467|305|99|577,28167|508|104|1691,45769|1317|251|1777,22955|579|63|1321,34843|530|16|1201,42940|543|6|3413
u46,989|231|12|66,61073|5152|1478|1711,48088|4489|1634|1662,47611|5019|1646|1234,42117|4205|1650|3322,44907|4442|1794|1047,45925|5238|1999|1926,46502|5022|1656|1109,30558|3149|692|1572,0|0|0|0
